sa_id,trace_type,ts,payload
57,post,2025-02-16 09:34:07,"{""info"": ""foi""}"
344,activity,2025-02-23 21:38:32,"{""info"": ""muet""}"
491,post,2025-01-28 16:31:37,"{""info"": ""parole""}"
29,post,2025-02-06 05:26:29,"{""info"": ""bouche""}"
275,like,2025-02-04 04:17:43,"{""info"": ""bois""}"
357,post,2025-03-15 12:36:29,"{""info"": ""\u00e9v\u00e9nement""}"
25,like,2025-01-11 00:02:54,"{""info"": ""verser""}"
257,activity,2025-03-31 15:17:10,"{""info"": ""visite""}"
301,like,2025-02-25 06:18:38,"{""info"": ""r\u00e9alit\u00e9""}"
347,post,2025-03-16 07:22:02,"{""info"": ""petit""}"
295,like,2025-04-07 15:10:22,"{""info"": ""avance""}"
120,activity,2025-02-05 07:09:40,"{""info"": ""sauvage""}"
462,activity,2025-03-09 21:06:21,"{""info"": ""mouvement""}"
101,like,2025-03-23 17:38:11,"{""info"": ""neuf""}"
137,post,2025-02-14 07:46:06,"{""info"": ""embrasser""}"
358,post,2025-03-26 00:55:26,"{""info"": ""histoire""}"
60,post,2025-04-23 04:23:21,"{""info"": ""mensonge""}"
18,like,2025-01-22 06:55:25,"{""info"": ""prier""}"
22,like,2025-02-23 02:51:57,"{""info"": ""passion""}"
7,post,2025-02-17 17:09:15,"{""info"": ""\u00e9touffer""}"
151,activity,2025-02-27 05:01:54,"{""info"": ""longtemps""}"
56,activity,2025-02-23 17:47:58,"{""info"": ""sembler""}"
267,like,2025-02-25 21:28:28,"{""info"": ""fin""}"
48,like,2025-01-07 21:27:06,"{""info"": ""passion""}"
404,post,2025-02-27 00:39:04,"{""info"": ""l'un""}"
401,like,2025-04-05 10:04:44,"{""info"": ""fonder""}"
412,post,2025-01-15 13:31:37,"{""info"": ""poser""}"
151,like,2025-04-23 14:55:10,"{""info"": ""m\u00eame""}"
62,activity,2025-01-07 08:13:50,"{""info"": ""erreur""}"
158,post,2025-03-14 04:40:47,"{""info"": ""place""}"
290,activity,2025-02-28 21:07:35,"{""info"": ""autrefois""}"
88,post,2025-02-15 14:44:39,"{""info"": ""aider""}"
395,like,2025-02-18 07:01:21,"{""info"": ""condition""}"
448,post,2025-03-25 18:45:33,"{""info"": ""fleur""}"
54,post,2025-02-04 15:31:39,"{""info"": ""science""}"
13,post,2025-01-25 18:16:33,"{""info"": ""diriger""}"
441,post,2025-01-31 07:23:02,"{""info"": ""\u00e9tranger""}"
418,post,2025-03-14 14:37:18,"{""info"": ""\u00e9lever""}"
79,post,2025-01-15 03:47:53,"{""info"": ""sueur""}"
101,like,2025-04-04 06:31:59,"{""info"": ""tard""}"
43,post,2025-01-29 00:04:09,"{""info"": ""entre""}"
477,post,2025-04-02 22:34:09,"{""info"": ""partir""}"
363,post,2025-02-27 19:44:52,"{""info"": ""avancer""}"
442,like,2025-01-23 02:02:26,"{""info"": ""venir""}"
384,like,2025-04-25 19:06:48,"{""info"": ""maison""}"
174,post,2025-03-13 23:36:25,"{""info"": ""sentier""}"
425,post,2025-04-02 23:36:52,"{""info"": ""finir""}"
360,post,2025-04-11 00:31:29,"{""info"": ""interrompre""}"
266,like,2025-02-23 09:56:08,"{""info"": ""saisir""}"
25,activity,2025-03-25 10:26:42,"{""info"": ""autour""}"
54,post,2025-01-05 07:23:06,"{""info"": ""silence""}"
206,activity,2025-02-14 22:44:18,"{""info"": ""droite""}"
198,activity,2025-02-27 08:15:08,"{""info"": ""forcer""}"
13,post,2025-01-23 16:51:15,"{""info"": ""suivre""}"
88,like,2025-01-02 22:49:04,"{""info"": ""souffler""}"
389,like,2025-01-02 19:13:57,"{""info"": ""adresser""}"
75,like,2025-03-09 13:28:51,"{""info"": ""goutte""}"
438,like,2025-01-20 11:44:21,"{""info"": ""certainement""}"
464,like,2025-01-01 17:37:49,"{""info"": ""salle""}"
224,post,2025-01-22 07:30:06,"{""info"": ""un""}"
343,like,2025-04-09 13:35:28,"{""info"": ""annoncer""}"
379,post,2025-03-23 23:53:18,"{""info"": ""fois""}"
4,like,2025-04-02 17:30:45,"{""info"": ""sauvage""}"
483,like,2025-03-01 22:48:01,"{""info"": ""fait""}"
49,like,2025-01-08 21:58:01,"{""info"": ""sec""}"
282,post,2025-03-17 10:06:05,"{""info"": ""\u00e9ternel""}"
454,post,2025-01-17 14:38:14,"{""info"": ""d\u00e9but""}"
12,like,2025-01-15 12:43:06,"{""info"": ""nombreux""}"
471,post,2025-04-11 04:28:25,"{""info"": ""\u00e9troit""}"
381,post,2025-03-25 06:07:51,"{""info"": ""occuper""}"
59,like,2025-01-10 15:49:02,"{""info"": ""seigneur""}"
183,activity,2025-04-16 06:22:53,"{""info"": ""lit""}"
156,activity,2025-03-07 14:09:43,"{""info"": ""lendemain""}"
13,post,2025-01-22 04:17:28,"{""info"": ""quant \u00e0""}"
271,like,2025-01-09 14:02:06,"{""info"": ""eh""}"
245,like,2025-03-22 06:25:16,"{""info"": ""source""}"
397,activity,2025-03-20 00:59:55,"{""info"": ""point""}"
437,activity,2025-04-03 18:04:49,"{""info"": ""carte""}"
337,like,2025-02-06 19:01:26,"{""info"": ""apprendre""}"
76,post,2025-04-04 18:21:19,"{""info"": ""rapporter""}"
198,post,2025-03-02 01:40:04,"{""info"": ""lendemain""}"
174,activity,2025-03-26 09:05:52,"{""info"": ""haut""}"
